Unnamed: 0,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,0,,,,,,Sol,0.0,0.0,0.0,0.0,0.0,0.0,-26.7,4.85,G2V,0.656,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,,1.0,,,
676,676,677.0,358.0,15.0,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-2e-08,1.958e-05,-2.65e-05,0.036597163,0.507723818,6.57795e-07,-7.90004e-07,Alp,21.0,And,1,676,,114.4985535,Alp,2.083,2.063
744,744,746.0,432.0,21.0,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,1.681e-05,4.329e-05,2.39e-06,0.040025853,1.032358404,2.53747e-06,-8.74701e-07,Bet,11.0,Cas,1,744,,30.06076303,Bet,2.303,2.263
1065,1065,1067.0,886.0,39.0,,88Gam Peg,Algenib,0.220598,15.183596,120.048,4.7,-8.24,4.0,2.83,-2.567,B2IV,-0.19,115.664183,6.687324,31.442127,5.04e-06,3.03e-06,-3.56e-06,0.057752413,0.26500374,2.27862e-08,-3.99486e-08,Gam,88.0,Peg,1,1065,,926.4031007,Gam,2.846,2.816
2076,2076,2081.0,2261.0,99.0,,Alp Phe,Ankaa,0.438056,-42.305981,25.974,232.76,-353.64,75.0,2.4,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,2.323e-05,3.218e-05,-8.456e-05,0.114682903,-0.738378669,1.12845e-06,-1.7145e-06,Alp,,Phe,1,2076,,64.44659847,,,
2914,2914,2920.0,3360.0,153.0,,17Zet Cas,Fulu,0.616188,53.896909,181.8182,17.77,-9.15,2.0,3.69,-2.608,B2IV,-0.196,105.743565,17.207892,146.901502,5.11e-06,1.67e-05,-3.1e-06,0.161317682,0.940678524,8.61514e-08,-4.43605e-08,Zet,17.0,Cas,1,2914,,962.0552192,,,
3172,3172,3179.0,3712.0,168.0,,18Alp Cas,Schedar,0.675116,56.537331,69.979,50.36,-32.17,-4.0,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,3.74e-06,1.802e-05,-9.43e-06,0.176744881,0.986762576,2.44152e-07,-1.55965e-07,Alp,18.0,Cas,1,3172,,542.0008904,Alp,2.25,2.23
3413,3413,3419.0,4128.0,188.0,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,7.82e-06,3.545e-05,2.5e-07,0.190194642,-0.31392547,1.1286e-06,1.58583e-07,Bet,16.0,Cet,1,3413,,116.091387,,,
3759,3759,3765.0,4628.0,222.0,Gl 33,,96 G. Psc,0.806382,5.280615,7.4549,758.04,-1141.22,-10.0,5.74,6.378,K2V,0.89,7.258368,1.555495,0.686093,-1.198e-05,2.545e-05,-4.201e-05,0.211110319,0.092164116,3.67508e-06,-5.53279e-06,,,Psc,1,3759,,0.244793567,,,
3814,3814,3821.0,4614.0,219.0,Gl 34A,24Eta Cas,Achird,0.81826,57.815187,5.9531,1087.11,-559.65,8.2,3.46,4.586,G0V SB,0.587,3.098462,0.674227,5.038376,1.105e-05,3.451e-05,-1.5e-06,0.214219876,1.009065377,5.27046e-06,-2.71326e-06,Eta,24.0,Cas,1,3814,Gl  34,1.275263706,Eta,3.507,3.457
