,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,0,,,,,,Sol,0.0,0.0,0.0,0.0,0.0,0.0,-26.7,4.85,G2V,0.656,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,,1.0,,,
88,88,88.0,224834.0,9081.0,,Tau Phe,,0.017941,-48.809876,181.8182,-17.92,-6.75,8.0,5.71,-0.588,G8III,0.911,119.736878,0.562356,-136.823418,9.9e-07,-1.579e-05,-1.008e-05,0.00469696,-0.851893035,-8.68786e-08,-3.27249e-08,Tau,,Phe,1,88,,149.6924857,,,
107,107,107.0,224865.0,9082.0,,,,0.022255,-50.337373,166.3894,7.34,10.59,2.0,5.53,-0.576,M2III,1.615,106.198875,0.618768,-128.089244,7.85e-06,5.97e-06,3.88e-06,0.005826258,-0.8785529,3.55853e-08,5.13418e-08,,,Phe,1,107,,148.0471325,,,
122,122,122.0,224889.0,9084.0,,The Oct,,0.026616,-77.065724,66.5779,-56.52,-176.95,24.0,4.78,0.663,K2III,1.254,14.902031,0.103716,-64.888859,-5.004e-05,-1.859e-05,-3.671e-05,0.006968083,-1.34505063,-2.74017e-07,-8.57878e-07,The,,Oct,1,122,,47.29334149,,,
124,124,124.0,224893.0,9085.0,,,,0.026949,61.222801,943.3962,-2.8,-1.34,-23.0,5.58,-4.293,F0III,0.407,454.144163,3.204116,826.885007,-5.86e-06,-1.285e-05,-2.357e-05,0.007055293,1.068539449,-1.35748e-08,-6.4965e-09,,,Cas,1,124,,4541.507126,,,
145,145,145.0,224926.0,9087.0,,29    Psc,,0.030402,-3.027504,139.2758,18.9,-10.25,23.0,5.13,-0.589,B7III-IV,-0.128,139.077212,1.106982,-7.355907,2.302e-05,1.294e-05,-8.15e-06,0.007959312,-0.052839909,9.16298e-08,-4.96934e-08,,29.0,Psc,1,145,,149.8304211,,,
154,154,154.0,224935.0,9089.0,,30    Psc,,0.032672,-6.014072,132.4503,46.62,-41.32,-12.0,4.37,-1.24,M3III,1.631,131.716394,1.126662,-13.877167,-1.524e-05,2.98e-05,-2.51e-05,0.008553479,-0.104965359,2.2602e-07,-2.00325e-07,,30.0,Psc,1,154,,272.8977783,YY,4.418,4.308
171,171,171.0,224930.0,9088.0,Gl 914A,85    Peg,,0.036139,27.082256,12.1699,778.59,-918.72,-37.6,5.8,5.374,G3V,0.69,10.834733,0.102555,5.540428,-9.99e-06,4.584e-05,-6.577e-05,0.009461082,0.472674536,3.77471e-06,-4.45408e-06,,85.0,Peg,1,171,Gl 914,0.617163168,,,
183,183,183.0,224990.0,9091.0,,Zet Scl,,0.038867,-29.720414,154.0832,9.66,14.0,8.6,5.04,-0.899,B4V,-0.15,133.807455,1.36158,-76.389577,1.275e-05,7.35e-06,4.72e-06,0.010175253,-0.518719079,4.6833e-08,6.78739e-08,Zet,,Scl,1,183,,199.3425456,,,
194,194,194.0,225003.0,9093.0,,32    Psc,,0.041584,8.485463,36.9004,-93.55,-47.5,10.0,5.7,2.865,F0V,0.315,36.494389,0.397318,5.44498,1.155e-05,-1.661e-05,-6.89e-06,0.010886699,0.148099269,-4.53543e-07,-2.30286e-07,,32.0,Psc,1,194,,6.223002852,,,
208,208,207.0,225009.0,9094.0,,,,0.043357,66.098966,100000.0,3.32,1.14,-18.0,5.87,-14.13,G8III,1.073,40513.19831,459.88359,91424.66428,-0.00053094,0.00160352,0.00020708,0.011350757,1.15364459,1.60958e-08,5.52688e-09,,,Cas,1,208,,39084089.58,,6.002,5.812
300,300,301.0,225132.0,9098.0,,2    Cet,,0.06233,-17.335988,83.4725,28.57,-7.28,-5.0,4.55,-0.058,B9IVn,-0.047,79.670013,1.300177,-24.872663,-5.95e-06,1.147e-05,-1.29e-06,0.016318028,-0.302570064,1.38511e-07,-3.52944e-08,,2.0,Cet,1,300,,91.87556017,,,
330,330,330.0,225180.0,9100.0,,9    Cas,,0.070462,62.287664,100000.0,-0.99,-0.37,-18.0,5.9,-14.1,A1III,0.274,46495.3549,857.790357,88529.35184,0.00015906,-0.00047707,-9.971e-05,0.018446903,1.087124813,-4.79966e-09,-1.79381e-09,,9.0,Cas,1,330,,38018939.63,,,
343,343,343.0,225197.0,9101.0,,,,0.072165,-16.529036,90.6618,53.77,-60.27,-27.0,5.78,0.993,K0III,1.084,86.89952,1.641967,-25.793323,-3.445e-05,2.299e-05,-1.754e-05,0.018892656,-0.288486103,2.60684e-07,-2.92197e-07,,,Cet,1,343,,34.89795674,,,
355,355,355.0,225212.0,9103.0,,3    Cet,,0.075033,-10.509523,641.0256,-6.49,-11.88,-42.0,4.99,-4.044,K3Ibvar,1.619,630.150175,12.379991,-116.922329,-4.856e-05,-2.113e-05,-2.846e-05,0.019643575,-0.183425784,-3.14644e-08,-5.75959e-08,,3.0,Cet,1,355,,3610.771451,,,
